,"fold-change edad [0,12]","fold-change edad [13,19]","fold-change edad [20,99]",fold-change mujer,fold-change hombre,"fold-change mujer edad [0,12]","fold-change mujer edad [13,19]","fold-change mujer edad [20,99]","fold-change hombre edad [0,12]","fold-change hombre edad [13,19]","fold-change hombre edad [20,99]"
PCBD1,-0.06263160788393635,0.0,-0.033560831242718386,-0.04546970999027895,-0.014412343478577333,-0.16110080485915948,0.0,-0.03838070417752549,-0.04588123784147144,0.0,0.002129886674088363
PCBD2,0.0027385679563320547,0.0,0.012901247399303182,-0.007094873200722003,0.0049548330335276985,-0.0013893396969478214,0.0,0.004260989751015321,-0.03015662149751837,0.0,0.09522389839501359
PTS,0.035885754822128,0.0,-0.04059541766170188,-0.01601251434766988,-0.004837312459355154,0.15050074991213477,0.0,-0.043595066736264974,-0.040224177862565304,0.0,0.07826775241537846
QDPR,0.041775047611185154,0.0,-0.027379045409741107,-0.019250447532648696,-0.03167436787537964,-0.07082727047345626,0.0,-0.00906605115124747,0.008624658298707394,0.0,0.04519754826817995
SHMT1,0.13929662622993602,0.0,-0.019024747659419146,-0.035233749130519965,0.03648724389067144,0.23131387676295542,0.0,-0.03182593034146152,0.14915484741330898,0.0,0.0710827803874527
SHMT2,0.13882571861240067,0.0,-0.08242759563076121,-0.022347614683002823,-0.07595054286124933,0.3672209671967861,0.0,-0.04838020376633771,0.09467285914613878,0.0,-0.066447570455528
SORD,0.28555355863877074,0.0,0.06210250084213356,0.05097149863478539,0.13844797986460008,0.5786173098443689,0.0,-0.012862275470689312,0.06581947772901395,0.0,0.16528695627120313
SPR,0.15314037162286562,0.0,-0.016765064892646616,-0.09471543684902148,0.12202104384218346,0.42340848770435735,0.0,-0.06382239906610765,0.11326520924003186,0.0,0.08454563951297547
TAT,-0.09244048700217294,0.0,-0.03412765882913638,0.002819811006664003,-0.16658434288664703,1.67646588114243,0.0,0.03285411145300392,-0.12063059444227392,0.0,-0.020278038684887346
TH,0,0.0,inf,inf,inf,0,0.0,0,0,0.0,inf
TPH1,-0.03369853196349528,0.0,0.008166452244202621,0.07778900739622928,-0.12529528126275324,0.4102534203326731,0.0,0.0654600789919519,-0.1546473248822808,0.0,0.029051518099276745
TPH2,0.018996652150871852,0.0,-0.03765761689120295,0.02461166334282367,0.08560309766223946,0.2123736128568489,0.0,0.047220447318270055,0.04164918221942249,0.0,0.058512540415907234
TYMS,-0.04317663424195593,0.0,0.009306392737622798,0.04095467523876725,-0.08560515725693238,0.5272581437766579,0.0,-0.026666534361726085,-0.09260848140466107,0.0,0.1435459139411869
