,fold-change Series1,fold-change Series2,fold-change Series5,fold-change Series6,fold-change Series7,fold-change Series9 NHBE_IFNB_4h,fold-change Series9 NHBE_IFNB_6h,fold-change Series9 NHBE_IFNB_12h,fold-change Series15,fold-change Series16 A549-ACE2_SARS-CoV-2,fold-change Series16 A549-ACE2_SARS-CoV-2_Rux
IFITM2,0.3353968427703213,0.6162276761188058,0.1984488168042457,1.769780820032818,3.0803446995035135,0.7545620678422947,0.625721881106926,1.3485726848891246,6.14203240991737,2.4468930049351347,-0.9566013897602157
IFITM3,0.7081489489870325,0.9565054548989519,0.20916936118711002,0.7823771115028006,1.8410546099917384,1.1377788711191783,1.0773411883745316,1.8206842657219642,3.910096583484027,4.048529647038943,-0.06573731945236466
IFITM5,0,0,0,0,0,0,0,0,inf,inf,inf
IFNA1,0,-0.9572925854838877,0,0,0,0.8741315969230413,-1.1378800994349603,inf,0,0.7710895748835003,inf
IFNA2,0,0,0,0,0,0,0,0,0,4.257419591095345,4.3171737294418815
IFNAR1,-0.009612870944732456,0.13906087620173738,1.1586197870666275,-0.17362082643506463,0.46174604067023056,0.6852265414901999,0.9003630965728475,0.4960658347288376,-0.4269012792262594,0.2938820855714072,0.5738396668178397
IFNAR2,0.2672413854219377,0.2384263750888844,1.0855474849930202,0.5668280026956715,1.3447353393235182,0.439043990872341,0.7445029872902931,0.44607444555206655,-0.24852605084511087,1.570771025896076,1.7722467578637222
IFNB1,-2.840098930970946,0,inf,inf,11.098433121023447,inf,0,inf,0,10.45230469916279,8.422426699075485
IFNL1,-1.223745047564144,0,0,0,8.475183174561094,inf,inf,inf,8.701852909592787,inf,inf
IFNL2,-0.7550246303081477,inf,0,0,10.918147720495865,inf,inf,0.7042921320569556,0,inf,inf
IRAK1,0.07981112905909689,-0.13607787664984758,-0.10291778956737678,-0.35399295346179127,-0.12292703811789808,0.3049283459560919,0.4186309986823139,0.3280210731304643,-1.2471771733138666,0.07383854808936105,0.05311448024774863
IRF1,0.2881051198709135,0.21544147600185126,1.135502532253544,2.50935718149539,3.987978463522039,2.6729065964172283,3.1700158113040136,1.875315988514235,-0.21536168224156166,4.223906720893557,3.8117598909450394
IRF2,-0.00907756872582107,0.1725373595838754,0.8893882499267669,0.8202697603349298,1.6416866093373657,1.249390641217149,1.4126062879711825,1.2407000845478415,3.2681207715916627,2.7897838029077517,2.1851006154693025
IRF2BP1,-0.1290156184443254,-0.034874000550947123,-0.8577784054687289,1.2696463923715353,-0.12672634131317068,-0.24522636499952283,-0.42564471577528845,0.08706049127800554,0.7652229629565545,1.6968296994220804,2.0827688451227533
IRF2BP2,-0.07506204069100643,0.11613323158948935,0.429221043352438,1.2558102708091217,0.8043160397167652,0.7687983741093639,0.7455092416088707,0.2446398967787885,-0.1946247224265101,1.7835108523884664,1.9161099837570423
IRF2BPL,-0.8281035648564554,0.20957447926317327,1.1494953581701652,1.48277441935507,0.9522087714512418,0.6943082811154428,0.5019865446131488,0.025235484318690913,-3.257072919309018,2.203568846408045,1.9701448331121683
IRF3,-0.07296952836556683,0.1643997187169968,0.0603591412502251,0.0742453139725739,0.28473742591125617,0.018334758907808304,-0.1673210762681329,-0.04013712868572667,-0.28236910695482675,0.8642431020815105,1.1042193045020665
IRF4,0,1.0869768457933904,2.681190222002146,2.1742814147292306,0.23627174915316282,0.11817976963964755,0.7173391586781458,inf,inf,3.8071556313579267,4.171172290215197
IRF5,-0.0917414145302758,0.04373204435188588,0.7646635998294725,0.056337678857998244,0.7345981988571436,0.2216417593045083,-0.21120400458348065,-0.5627490022763295,2.7736099416149824,1.9309229131855097,2.119903033297323
IRF6,0.07535423064939901,-0.05981252725489777,-0.28218638126253515,-1.302019106810421,1.8077816633088875,0.9662814377363257,1.3621774973335095,0.680749001472361,0.708335031732208,0.44097931763403414,-0.3230529529182315
IRF7,1.4834160080162389,3.3105092209806024,0.9436909365417451,2.944237490999762,3.7223103030464824,4.281158372652944,4.450134071433273,4.831161964689816,2.9177922766625546,5.9592305182919825,2.1789144123491533
IRF8,0,-0.3734794746612205,0.7822241398099985,3.024648981040359,1.151424733289056,inf,inf,inf,-2.0827985894368517,4.128557888079182,3.4941190452127278
