,fold-change control mujer case1 lung,fold-change control mujer case1 heart,fold-change control hombre case2 lung,fold-change control hombre case2 jejunum,fold-change control hombre case2 heart,fold-change control hombre case3 lung,fold-change control hombre case3 heart,fold-change control mujer case4 lung,fold-change control mujer case4 heart,fold-change control mujer case4 liver,fold-change control mujer case4 kidney,fold-change control mujer case4 bowel,fold-change control hombre case5 lung,fold-change control hombre case5 fat,fold-change control hombre case5 skin,fold-change control hombre case5 bowel,fold-change control hombre case5 liver,fold-change control hombre case5 kidney,fold-change control hombre case5 heart,fold-change control hombre case5 marrow,fold-change control hombre case6 lung,fold-change control mujer case7 lung,fold-change control hombre case8 lung,fold-change control hombre case8 liver,fold-change control hombre case8 bowel,fold-change control hombre case8 heart,fold-change control mujer case9 lung,fold-change control mujer case10 lung,fold-change control mujer case10 liver,fold-change control hombre case11 lung,fold-change control hombre case11 kidney,fold-change control hombre case11 bowel,fold-change control mujer case12 liver,fold-change control hombre caseA lung,fold-change control hombre caseB lung,fold-change control hombre caseC lung,fold-change control hombre caseF lung,fold-change control hombre caseE lung,fold-change control hombre caseG lung,fold-change control hombre caseH lung,fold-change control hombre caseI lung,fold-change control mujer caseD lung,fold-change control mujer caseJ lung,fold-change control mujer caseP1 placenta,fold-change control mujer caseP2 placenta,fold-change control hombre caseP3 placenta,fold-change control hombre caseP4 placenta
TGFBI,-0.7652717067992689,-0.2092086663393025,2.580279669843816,0.1576994312139336,-3.085828660268381,-0.08651951137444097,-2.168334230020928,-0.46670488863166915,-1.4799834836776398,inf,inf,0.19381881527012298,0.7655414299317251,-3.4741841168947207,0.2751963920988698,0.372780256952665,-2.874722046478443,-0.903576909150636,-0.4929613239253495,-1.53728095221976,3.6831622703824047,0.6231293834356895,0.02375286408834314,0.25350366368348315,-0.4023513721336515,-1.8143274484262766,0.5137941813954593,-0.2801102032191952,1.7418817331797494,-0.2419640794238535,1.2234433293209925,0.21311133414490374,4.326844233900901,-2.353889883177008,0.35704220878172827,-2.156047601169727,-3.002222478412074,-2.2397188632576923,0.35470396671253057,0.3230228497868068,2.6465748277437195,-2.695523579127547,0.8192862368653545,2.577704024428582,1.8059783236782312,2.4607448230389064,1.3873434888286322
TGFBR1,-1.5265217788153955,-1.3254599663541144,0.01693182050236182,0.6516254490701903,-2.4350337937952573,-0.7186994986624071,-1.4906560693968571,0.4759375004070869,-1.6127914181872403,-0.16791868936764087,inf,-0.3299231749701846,-0.7787520702354412,inf,-0.8284851608017195,-0.28666293535328957,-2.9019990851179576,-2.8053230657062875,-1.6489487678567882,-0.4390271087754105,3.2114142210693246,-0.48873633790852405,0.6076007436987118,-1.602438803259051,0.6255131434192928,-1.6880592288123344,-0.7871221267894469,-0.28405442410861775,0.8909749996859316,-0.2782174483617703,-1.2988892376865446,1.2100818417520631,2.1540094055197283,-3.010523541896134,1.1084932886996803,0.17540541856764627,-0.8727740133641387,-0.9190725984769018,0.8944675207969157,0.6419361473431433,-0.6690219131403349,-4.868358407508728,0.5110995555892892,1.5361709608227223,1.7275609120694204,3.1190936601108974,1.9109153622815445
TGFBR2,0.11799573702751394,-0.4765852660264399,0.008661776315079672,0.36267018425787245,-1.1237144311206027,-0.4015880367117648,-0.7033539118210563,0.8731162308770694,-1.3964840304972674,-2.1577630820069076,inf,-0.2608738785558823,-0.2832127577724413,-3.190141792859575,-0.5487205320019121,-0.7267501487496983,-3.6364834120564273,-1.575140465757038,-0.6971836064407181,-2.9483840466561992,1.27659721419226,-0.19099187582808344,0.3407567387259609,-3.416650322668256,0.4493754611908106,-1.3139672174643742,-0.04769472539321445,0.45178262901608424,-1.4207974878406944,0.5938913334670598,0.23739648998838422,1.1302104471022452,1.7491275136016182,-1.2174047475557266,1.0491692714539425,-0.36504528841470746,-2.377454464035444,0.6392700500712246,0.9418505113433784,0.6980893475173421,-1.1689185217720588,-4.050847878090382,0.6266914379406237,-0.3424374331355128,-1.1615895258559432,-0.02044565163685729,-1.3372376141313875
TNF,inf,0,-2.2659638520142127,inf,inf,-0.03454751976463984,inf,0,0,0,,0,-1.9246688746259308,inf,-1.5135112787678036,inf,inf,inf,inf,-0.09603885057190321,5.641506966329761,inf,-1.5631302934238522,inf,inf,inf,inf,inf,0,-1.960726947695455,inf,inf,inf,1.0048900582788765,0.6003449328176756,4.446657923172247,2.4031000489808463,inf,inf,inf,inf,0,0,inf,inf,inf,inf
TNFAIP1,-0.4087182155378755,-0.766627466574429,0.8550109394767573,0.44219001410816333,0.5028880157797524,0.8994621424280802,1.2893133804019208,2.628449718009038,0.005639307156828252,0.6319219099158396,,-2.1791754138275765,0.48340340494208195,inf,-0.3318701012163356,-0.8921245227480288,-2.397036682819052,-1.3327821410997587,0.6564821709144814,-1.884024023976916,5.031410790987513,-0.9126694175314553,0.8918142879156074,1.5425274633189703,-0.7320209305318633,0.3414298203457521,-1.00453278515316,-0.2911161082692688,1.953850004803209,0.051832654800624614,0.34357668836229505,-0.26584693300132484,3.9538500048032095,-0.5607026937896891,0.6197146814702631,1.506669656322183,-0.9958428336782722,0.9749320945679029,2.164964669458791,1.773786914130907,-0.10455849909277357,-2.483555307504089,-0.29786908780275045,-0.4030785888923189,-0.3125678278626145,2.218266613493538,0.47442994693556234
TNFAIP2,-0.33790320619327335,-1.571841887762551,-0.3256477366652114,-0.9012920398345231,-2.237929535708319,0.5948185764922267,-1.551633424172653,3.7520717249041136,-0.6583458820363789,3.1606082252811554,inf,-1.2839501168746046,0.9392961231423144,-0.39181973869763226,-0.6200018405842866,-1.6197425764812416,-3.2073951675602004,-2.0138576088959375,-1.120517716880235,-1.6354888196644928,0.9942248210511887,1.1889582564423298,-0.6435238192433195,-2.6183282685063087,-1.735024493215408,-2.497497816592168,-1.1044614332588862,-0.4537714785717205,1.8975738194473672,-0.14581715444686547,-0.3513045789589148,-1.779812414962248,3.6080672022523834,-0.1195224115348728,1.8050560592954996,3.6812042791908235,-0.02722819773163889,0.18842035178112435,-0.051032616558949286,1.429432701950548,-2.3478763911100278,-3.999263111497225,0.7440782629295329,1.176406180811475,0.9772160153817537,1.2592841963070167,0.5773598290010822
TNFAIP3,-1.4764802288414574,-3.4515943979125705,-0.417382249114302,-1.855673262056695,-4.684163854260167,-1.2796504190853928,-3.8432907056156203,-2.0894819766768915,-5.856647808618791,inf,inf,-4.340580389108704,-0.3541992774671841,-1.7505912159991337,-1.1287987618903976,-0.7393263899033218,-1.4232086910196635,-1.6356634920312392,-2.9647160213519848,-3.2007111744334247,1.784133231521257,0.33014098331596,-0.8424290152843932,-3.3921372450866585,-2.486113393295672,-4.593234888059878,-1.8342517403166734,-2.1309999633758965,0.14335219138120595,0.10711764118774543,-2.0885876795141525,-3.6240107194339943,0.7283146921023621,1.0452680672206345,0.6778759401769019,3.4591691386810575,1.9166922009913008,-0.013625621832928456,0.10476907896930825,1.4916479902590705,-3.121685367690377,-4.709090620204935,-1.559930276528712,-0.1484242537881544,-0.9217683662691273,0.21630286947772268,0.7756199196729437
TNFRSF10B,-1.6109698532930297,-1.0601079109967007,0.41505220075477434,-0.5900904361952054,-0.6404237469123596,-0.07670690097931196,-1.4434067880425452,-1.5217448500692896,-1.6735604709598697,0.2129105834097089,inf,-2.1507277633624855,-0.6842487924335885,-1.350707298426059,-1.7488144017550291,-1.3394424723302432,-3.429317133122421,-1.4581719957946084,-0.700893653354931,-4.501266975001438,3.714645539369813,0.1917712020919135,-0.26710488976576596,0.422784171765264,-0.9987666344722553,-0.6908506299576165,-1.3000516944339775,-0.539964435923456,2.4093077962132177,0.26316080881965864,-0.010631856828433968,0.15438482139281445,5.119801179018238,-0.6998983480095693,0.8098266525033474,1.11181912663411,-0.9515020023787285,-1.2417729268728932,1.132684219155422,0.5058782153343963,-1.4994090287808524,-4.487529134731378,-0.7908809957526592,-1.3851910607792328,-1.1872455566877989,-0.8408443636109071,-1.8797785982551687
TNFRSF10C,-3.8125893562677615,inf,2.251261847491424,-1.6957178141368883,inf,2.5621958627759867,-2.6509137800034384,-0.4446260372957069,inf,inf,,-4.143998278480299,1.447639412164808,inf,-0.6668147765209375,-0.6724803463749963,inf,0.47182453599443186,-2.9567636668772264,1.9205826531172776,5.630911513310713,-0.492074656942997,0.9686659853769544,inf,inf,inf,-2.3725074107299604,-1.1726012763121174,1.8634962580666241,-0.2014508408746821,1.2412927698479703,inf,4.448458758787781,3.436549061246898,3.25439635712215,0.5563888312529037,0.02740412989125908,-0.4492799188337896,3.3675353324728827,3.6109614536815324,0.9451606758379439,-2.5739090542406764,-0.31783350664794213,-2.7188945397553677,-3.060174745824321,1.88421663281661,1.2201429349761836
TNFRSF10D,-0.1667013637583937,-1.002721530141091,-0.15342935343622255,-0.9127943325589963,-3.708863447070084,-0.5994541590975342,-1.742459416341685,-4.523252158267253,-1.0707399535697426,1.8552594649864724,inf,-2.245344475951926,-1.436843808111423,inf,-2.021394818692979,-0.4103890280985458,inf,-0.7896461017861276,-1.3853442904930486,inf,4.30517195106657,0.6888045033108797,-0.9699216266004302,inf,-1.510812986105595,-2.2028969815909583,-1.7979383667269964,1.775650252998503,2.5922250591526854,-0.5403627269781778,0.8867127276759258,-1.163283485073673,5.1771875598738415,-2.824921576533662,-0.9075386071075001,2.5237368839682266,-1.5336267897482065,-1.1257880558931923,-0.3793621324779109,0.6506603506215345,inf,inf,-0.4895690320109603,-0.7116192920811544,-2.173120563901876,-1.332128275201425,-1.8189352814679276
