,"fold-change edad [0,12]","fold-change edad [13,19]","fold-change edad [20,99]",fold-change mujer,fold-change hombre,"fold-change mujer edad [0,12]","fold-change mujer edad [13,19]","fold-change mujer edad [20,99]","fold-change hombre edad [0,12]","fold-change hombre edad [13,19]","fold-change hombre edad [20,99]"
SLC22A4,0.19375654888753405,0.0,-0.01086365511693894,0.05641336707934759,0.05223754023484959,0.3789947146887728,0.0,0.007811745382465058,0.12755839846925535,0.0,-0.024175779271701885
SLC2A1,0.02460794714264654,0.0,-0.10077501606877126,-0.011168535277974937,-0.11097986643559549,0.18371507934313258,0.0,-0.05318876963560744,-0.05242761492810207,0.0,-0.029937178120886882
SLC2A4,0.16945946200150724,0.0,-0.1808638270395247,-0.42111153947098007,0.3229027235040517,0,0.0,-0.32695180786782263,0.47758175736383923,0.0,0.27271928584188027
SLC4A2,-0.013616508544560025,0.0,-0.17509989917669452,-0.07887953942572007,-0.16236406743595763,0.21629413597673797,0.0,-0.08180358610345725,-0.019771132033661612,0.0,-0.19575567521071846
SLC6A14,-0.8930847960834882,0.0,inf,0.6753590563836114,0,-2.0,0.0,inf,0,0.0,0
MAPK12,0.40850441011741456,0.0,-0.16255798393323956,0.08911114017650378,-0.21601419288145815,1.7642262037926424,0.0,-0.12169808078349689,0.06615117629909706,0.0,-0.26312094382700574
PCSK9,inf,0.0,-0.06957686470965395,0.6682996606634567,-0.2714606758897895,inf,0.0,0.470177398177662,0,0.0,-0.542027691302109
SLC4A11,-0.08845361587893907,0.0,-0.27803612324270555,-0.1604218184315278,-0.3020623387732468,-0.09270477587254856,0.0,-0.14338725360810087,0.0292245562549269,0.0,-0.3206941676002173
ESRRA,0.10149174939713923,0.0,-0.11516311077516321,-0.030471158152479503,-0.08814792017966842,0.011311866609376494,0.0,-0.058013765094948384,0.11651354451864127,0.0,-0.1435239612252685
EEF1A1,0.10822471969834105,0.0,0.027848161796713466,0.04824210698554089,0.007198673929145301,0.4593941193139933,0.0,0.005235865018829056,-0.05508439698736019,0.0,0.14805282351560384
BDKRB1,0,0.0,-0.2949618228534623,-0.523561956057013,-0.45261304168254757,0,0.0,-0.4436066514756146,0,0.0,-0.14333385168213472
BDKRB2,-0.061709634767910804,0.0,-0.17617011150478798,-0.004908024401628344,-0.12021918623904594,0.6866873748313624,0.0,-0.19323429259615507,-0.26162924743368887,0.0,-0.013803927756125822
BATF2,0.12125039642233872,0.0,0.31248098231079474,0.4406997360423187,0.23999857186369253,0.5871399120656581,0.0,-0.05620413014254714,0.006384393100961672,0.0,0.32407534945991784
ZFP36L1,0.047932573461593256,0.0,-0.08291687317390287,0.04488100517265336,-0.06289794514611946,0.31295541552049033,0.0,-0.025662427370731957,-0.04556110110480381,0.0,-0.09733924360708208
MAPK13,0.030713676277706034,0.0,-0.05958846801209477,-0.025002639766808856,0.004678377616758957,0.021219380010581997,0.0,-0.03813524155146407,-0.00856421645133059,0.0,-0.006135190389314853
S100A14,-0.08790951015392937,0.0,-0.0004682622265425697,-0.19100425306430394,0.19731232460294815,0,0.0,-0.26648505957042645,0.22021278520840276,0.0,0.415702741393791
FGF2,-0.23496958025787848,0.0,0.061958010076335675,0.05581443939081429,-0.04458107759351488,-0.6877440335841083,0.0,0.13989171115329774,-0.11277043942110457,0.0,-0.02579763703606797
CTSB,0.04095284762739445,0.0,-0.03130225324379252,-0.033461614891393564,-0.053830114921773385,0.11815473136442012,0.0,-0.02173089512266348,0.03814008006194884,0.0,-0.07882051417494546
COL5A1,0.11545189710709614,0.0,-0.2315053127092347,-0.2236002679514786,-0.21124990014465753,0.2614100051238059,0.0,-0.1956254428771548,0.15498515322306858,0.0,-0.2463709350899046
COL5A2,0.16812825369929457,0.0,-0.11035342116398392,0.013633731094615421,-0.5257058529156131,0.47524649583408746,0.0,-0.03468337321744365,-0.012346241255461925,0.0,-0.017731101236562498
MAPK3,0.08429516246935662,0.0,-0.08397425914148741,-0.04648847162294736,-0.0019155743015970266,0.20545008786148505,0.0,-0.07537253235009171,0.030325367539730162,0.0,-0.036686626786908906
NLRP12,0.0852625152264729,0.0,-0.0956557060328954,-0.11292822565639632,0.03347909506197942,-0.24007312585541213,0.0,-0.10403646620447035,0.1835794783816333,0.0,-0.07420966997014927
NLRP3,0.1003034589648688,0.0,-0.08460135998562221,0.002781165089459463,-0.1294039162095789,0.6355054325009083,0.0,-0.02379709334837218,0.0047867993098625414,0.0,-0.14134851189376343
KNG1,-0.06427323698022644,0.0,0.11613488561518248,0.014121244927170554,-0.04019746022663505,0.22947447809631077,0.0,0.03903020016707691,-0.05604686559995183,0.0,0.2560465344311848
SOCS1,-0.010213011466158417,0.0,-0.1308409201943696,0.01375617355522187,-0.22008718568306,0.6344049464888405,0.0,-0.042946031106011966,-0.13567664101465252,0.0,-0.21817901336180323
COL4A1,1.8595260143748493,0.0,0.00715414081666524,0.15644767166341278,0.3446918203469844,inf,0.0,-0.0451878723495882,0.5992655000298487,0.0,0.1557929195137683
COL4A2,0.46677385426920304,0.0,-0.0868893542207596,0.02133625319475573,-0.0407777391431998,1.3469780892493364,0.0,-0.13354091333944462,0.2858100383842901,0.0,-0.07343288755855372
SERPINB9,0.08803911320519424,0.0,-0.01672474171919294,-0.0013449994840344444,-0.01348798617601298,0.13289276165929606,0.0,-0.03194522508381699,0.036456842025665945,0.0,0.0661041196149286
C3,0.031365842732975574,0.0,-0.056824281173682524,-0.040966474165709706,0.013368468471289495,-0.09147433728415445,0.0,-0.03127503338241546,0.03423201926546979,0.0,-0.02816732232917333
CSF1,0.17632906720955843,0.0,-0.014841491844679668,0.0951155051291189,0.08358770465856452,0.7033463865558387,0.0,-0.08086184105193082,-0.14918610918651695,0.0,0.04284100727645332
CSF1R,0.029299102732498635,0.0,-0.023848865671966188,-0.08131732561190161,0.014795241116154703,-0.22220054648258472,0.0,-0.05000042784922173,0.11831810136758876,0.0,-0.035781545431768036
CSF2,0.14148329234611817,0.0,-0.4313014975715603,-0.24735404714296383,0.09920371151886645,inf,0.0,-0.2857891972007133,-0.36993668591814105,0.0,0.2998733991176389
CSF2RA,inf,0.0,0.037920362464703636,-0.1950737424949363,0.3719432541260499,0,0.0,-0.4436066514756146,inf,0.0,-0.016229889566932106
CSF2RB,0.14448082216021463,0.0,-0.05591445053348402,-0.00928390266113966,0.056640323386528635,0.34193070951019366,0.0,-0.06828696226399168,0.06178459042536709,0.0,-0.005488758526128872
GATA3,-0.0070422038273234115,0.0,-0.11349363050979475,-0.09886116566380151,0.030817377902318963,0.1477150534174837,0.0,-0.11335674668657943,-0.09025534916991183,0.0,0.10428161215599056
IL17A,0.3891773854480251,0.0,-0.21655110333670952,-0.523561956057013,0.4942504625330008,0,0.0,-0.44360665147561484,0.697299680810357,0.0,0.30817960882086337
IL18,0.026960656879355623,0.0,0.02600550453246699,-0.04539207968942213,0.058019316192179336,-0.01563302835601994,0.0,-0.014705367048316955,0.045520120634439075,0.0,-0.005615665276100427
IL18BP,0.022944934666576832,0.0,-0.03089717779188688,-0.00410311443690858,-0.04068598800250973,0.07485396565661727,0.0,-0.014836869544922955,-0.028645450185532998,0.0,0.021451615940040043
IL18R1,-0.0027974743032037745,0.0,-0.03149570099561841,-0.014430632938436352,-0.03132429510552548,-0.3063444247322008,0.0,-0.05017754917737407,0.007714257663682975,0.0,-0.015146578707421383
IL1B,0.3247793370544857,0.0,0.19080385808275407,0.4744770087465569,-0.08112180362084284,1.4932952308832974,0.0,0.15573473426699744,-0.09612083418868499,0.0,-0.015208534318420758
IL1RN,0.614460510211263,0.0,0.051880585036971155,0.4089944958985688,-0.07235968576893376,1.6802780154823123,0.0,0.034939271657927255,-0.059828870861033195,0.0,-0.15223975396596207
IL32,-0.04718315956621438,0.0,-0.011052834084588889,-0.023760174995950893,-0.010325469155137648,-0.18396173648643555,0.0,-0.004281163344129283,-0.03774684532465187,0.0,0.06437401087348221
IL6,-0.06676695877346119,0.0,-0.02810614845660329,0.002551164908645478,-0.06644988874892474,2.140474923875314,0.0,-0.042905610571338945,-0.2687366255662712,0.0,0.0488072966186033
IL6R,0.15071258333086304,0.0,-0.04431587020096565,-0.06215555724950518,0.08462940140877445,0.21713259946351232,0.0,-0.07873154555214729,0.09378232011472958,0.0,0.05236491661209429
IL7,-0.061040249686597124,0.0,-0.05528949480574309,-0.013863490889656533,-0.13388735227536153,-0.22584328713385227,0.0,-0.028667873361862068,-0.06849230254724113,0.0,-0.05762786255732062
ITGB2,0.09535627728320621,0.0,-0.05489562982492664,0.00419360130138478,-0.03466323347756744,0.27007582349134224,0.0,-0.026147796964526546,0.05645127036771155,0.0,-0.07438030036568992
STAT6,0.0548169311976354,0.0,-0.06385862658807576,-0.05333664933942073,-0.006062363986880728,0.06958030015366408,0.0,-0.06530297832856602,0.04707343784719642,0.0,-0.017734088700515852
TGFB1,0.15339000308110082,0.0,-0.18478892341617,-0.07396195653620523,-0.11125005795870142,0.3843489744955495,0.0,-0.13120126099160287,0.024151288088083547,0.0,-0.14812822989624183
TGFB2,-0.29205060200939514,0.0,-0.10852520131992406,-0.06710704822498771,-0.2835405123302369,-0.03567255255810592,0.0,-0.04991563198016764,-0.2714673113936765,0.0,-0.13517859829225595
TGFBI,-0.037266480461684584,0.0,0.015289768217019406,-0.06893302249893357,0.02655785926969916,-0.21979578294524682,0.0,-0.05366237751841758,0.015951358294584963,0.0,0.046736867178753305
TGFBR1,0.08260019283088096,0.0,0.01509112455145505,0.017805506922331883,0.023154487464324306,0.004486751971629429,0.0,-0.004821387440126299,0.024002636496939466,0.0,0.0727216028271115
TGFBR2,0.1324563343911937,0.0,-0.014365266425221008,0.021479685889325906,0.006878543238665017,0.4235579508628037,0.0,-0.02567637244732603,-0.012664287549782056,0.0,0.09443883231572821
TNF,-0.08852395679021005,0.0,-0.12540905440581618,-0.06898140070687331,-0.16941016926249206,0.17501685031867484,0.0,-0.07491246684952749,-0.10819156509613852,0.0,-0.15294020649860526
TNFAIP1,0.026828346433509963,0.0,-0.059300004110079386,-0.023732159118948448,-0.030498516179263628,0.04300477116984063,0.0,-0.03411285777110073,-0.02343386952476077,0.0,0.01026004450046563
TNFAIP2,0.03238265254083178,0.0,-0.08521052135940631,-0.014277510515191232,-0.03990220547456753,0.15426961759621638,0.0,-0.09297391510291572,-0.02830700027165788,0.0,-0.08176311490859475
TNFAIP3,0.4518477425175102,0.0,-0.12549901312847758,0.16068400922869458,-0.2037393543658866,1.0529348616553602,0.0,-0.005110999439549245,-0.08999752767535424,0.0,-0.20079189468678704
TNFRSF10B,-0.012227711499636156,0.0,-0.0642624489238692,-0.0796869527813515,-0.014171949868296566,-0.11365767691455012,0.0,-0.0745434429135798,0.02864874360251302,0.0,0.010895571457902114
TNFRSF10C,0.2519256132142273,0.0,-0.07512017669809253,-0.06434622299877746,0.134519371596169,0.1557968637636578,0.0,-0.06911381488479693,0.26745018584259667,0.0,0.012730860602972278
TNFRSF10D,0.22332667937560138,0.0,-0.012947602445893241,0.04371676205660378,-0.04276461523290431,0.7454645456559159,0.0,-0.005864376102380617,0.018644621516592328,0.0,0.01329321220170399
TNFSF10,-0.017132714172995785,0.0,-0.002866462111715743,0.0012020396408893178,0.10390729851883695,-0.1556153350535346,0.0,-0.013356774547243587,-0.004444764989612368,0.0,0.06431219874724829
TNFSF14,0.3548167765899923,0.0,-0.09217175152556749,-0.04587108660680862,0.0940333619073035,0.6443047321042339,0.0,-0.13297235968734775,0.128184620056111,0.0,0.02617012738285684
TNS4,-0.12920238968327752,0.0,-0.08079917238335912,-0.05252822644738178,-0.11167453922075293,-0.40117909702236976,0.0,-0.04114574833603263,-0.0007180975291410142,0.0,-0.08940398020103991
