,"fold-change edad [0,12] - other virus","fold-change edad [13,19] - other virus","fold-change edad [20,99] - other virus",fold-change mujeres - other virus,fold-change hombres - other virus,"fold-change mujeres en edad [0,12] - other virus","fold-change mujeres en edad [20,99] - other virus","fold-change hombres en edad [0,12] - other virus","fold-change hombres en edad [13,19] - other virus","fold-change hombres en edad [20,99] - other virus"
IFI44,1.9434047315135021,2.1689826110215997,2.9249354672904886,3.935812689454562,1.1167529452337548,4.9629427385807885,2.4294188672583235,-0.635296220099979,2.3990899502400382,3.1986391532280662
IFI44L,1.9532557258964458,2.6534422811411638,3.5062523555050404,4.369673534300494,1.0077798902378379,4.564446604753711,2.915061803650508,-1.1421768141228503,2.9380532440773144,3.7260530439116293
IFI6,1.9270498891406957,2.5360357059311025,2.8962289669394483,2.7023392072095835,2.4995287763584844,2.68866777813333,2.7578727171090263,1.429025682949702,3.350499644022703,2.9745468431288686
IFIH1,1.9945213558884731,1.749233634404322,3.3250620186564395,3.750995638001768,1.7421565334604447,4.553271035249474,2.608625103019541,-0.5056444172694398,1.979803797432983,3.7388750130061807
IFIT1,3.0835802898236944,2.4979986319466407,3.4044456169836432,4.280403175787023,2.3331851615064996,5.5565571911775065,3.107609464858244,-0.8927667517738697,2.284598406286339,3.619368114446433
IFIT2,3.0061899852909417,2.5614920533305368,4.812941227070768,4.475012143115285,3.9402382204756954,5.128781405288193,4.10538963866556,-2.4393845231558577,3.658250593117499,5.247930905269135
IFIT3,2.7551006779867557,2.9348028572082585,4.117027372657552,4.046591485266663,3.0839472153853342,4.439271876418872,3.5498496770931567,-0.6685031522365746,3.604895829560634,4.592441170459614
IFIT5,1.6996950529344066,1.9023646227782827,2.520119412240179,3.2092198393016003,1.176429614635062,4.0392186409739335,1.9191135458233317,-0.6499110895862246,1.6247413712403709,2.8846969115662953
IFITM1,0.9044847954435858,1.9032021596455286,1.866076415456256,1.3535349281442455,2.1242656461665237,1.4741532657915346,1.4669696075697591,0.2800783636090833,2.828452406402009,2.3805564474435297
IFITM10,-4.650563180479131,-4.51595214268271,0.4063518027579343,0.13725336697890636,-1.0485889775247266,-1.0056256933369794,0.5765692025054584,inf,-3.4066264171707896,0.3332409025907839
IFITM2,1.247697028084399,2.299198213723592,1.1976325671039068,1.9507410013884678,0.5907439899184932,3.031576178515956,0.9771767869314748,-1.3237393612266322,2.912687337645224,1.413730656742758
IFITM3,2.179221490962358,2.277034025400508,2.240006712546604,2.1544890531727874,2.401251558202439,2.943030198350072,2.0238703712309802,-0.5814146081977937,2.447431861964033,2.59171575537296
IFITM5,-0.675806063658245,-0.19949514858912792,0.245471167994789,0.07653300962320624,0.526602814358008,-1.013675702414629,0.3870498968665602,0,inf,0.32987213748517785
IFNA1,inf,0,0.7204368874493012,4.504159350890406,0.3471217700729032,inf,1.4507556573508038,0,0,0.15663544614827452
IFNA2,inf,0,1.7909700618520528,7.876818706269627,2.2766764895693896,inf,inf,0,0,2.0861901656447603
IFNAR1,0.03995974749034518,0.912462470289084,-0.10574932801846201,0.4392495106098796,-0.3664058690222822,1.144624665315924,-0.356179612343599,-0.22683993973809105,0.8147337607840146,0.11220560622070716
IFNAR2,-0.8531012650192885,-1.005887215522475,-0.032225954832612425,0.08410303818333707,-0.848635668427335,0.4246702883274301,-0.6005402692490021,-2.031139518419559,-1.6217034890524227,0.3770033278865949
IFNB1,inf,-0.042994407881470034,2.5799770736634593,6.336205712497118,1.6176444238814063,inf,3.5802562247496423,0,-0.7210663129941075,1.851793523996779
IFNL1,3.2828779308311926,inf,3.443676957581143,3.233672991052438,3.677524706612282,2.945008292074809,3.3571333496845,0,inf,3.4681473343146947
IFNL2,inf,inf,7.0689894762772285,7.188743926939356,8.815391555101282,inf,6.527518968447588,0,inf,8.620732367917675
IRAK1,-0.1996470860463403,-1.9356368229863914,0.4652815931928143,-0.0742204733264975,0.653307993708143,-0.6934373325094413,0.25622851584655293,1.004003267902677,-1.6208914986246643,0.6487191358777928
IRF1,0.48800932253206225,-0.45382345283611325,1.82704975376122,1.1080167424892071,2.1889598053132056,0.45603614988292696,1.3984197231796864,0.43274851400897774,-0.31876093014981743,2.3074138470033865
IRF2,0.2003478426553073,-1.5285685386145946,0.553646088797128,0.4720954471782946,0.22497814103473615,1.179008739160336,0.1847102225471281,-1.2417250248112914,-0.7747992258647535,0.7940327490372218
IRF2BP1,-0.7155112392479017,-2.4534935819772943,-0.44507091345566463,-0.6790179709052179,-0.4371200554202396,-1.1403226512136933,-0.44900124003347075,0.21723955503766337,-2.9211520977420378,-0.34828318240778294
IRF2BP2,-0.2396354171436671,-1.6134749600908076,-0.13541169024157426,-0.09672899821958937,-0.36977760142500377,0.11623844627833776,-0.19652470951019177,-0.21561655889460984,-1.6206203347793289,-0.07619343292814872
IRF2BPL,-0.297969232571518,-0.17653359975029434,-0.36231070075889277,-0.5698747815236281,-0.15372546699582923,-0.045143738756648184,-0.7036684703170899,-1.021581189090492,-0.15862021213428848,-0.09329442793014225
IRF3,-0.5887213555561078,-1.6654866062599674,-0.38772611905453924,-0.6220315184069934,-0.309980231590207,-0.6958312733342095,-0.488595469513224,-0.12285185478286412,-1.9299127932190465,-0.28547787880700065
IRF4,0.8280889195839777,1.6423528814304447,1.7969654414247092,1.3361097156662352,1.6402548775481023,0.6369492094808964,1.694245126061626,1.0134591293916786,1.776498543375831,1.7904718929740044
IRF5,0.5278111083908397,-1.468427197934753,0.37981260868479993,0.2984237956033082,0.2563225478042127,0.593118925720427,0.16639599233242333,0.3163060719752072,-2.0192429081605163,0.5066615406583467
IRF6,-0.1389570865038062,-1.5471521917526483,-1.0199655963707106,-0.9265553514358379,-0.7365577745715194,-0.06178194668284858,-1.3671595356498656,-0.08379877407824576,-0.9848221290415391,-0.7439953189892238
IRF7,1.5726238097147744,-0.40739065306123284,2.430631407373943,2.0444901725117997,2.505010990035853,1.6242530411803593,2.254215433712157,1.131009807647104,-0.7796332274862605,2.5920143993675198
IRF8,1.8153133105177548,1.461930652064637,1.934127325364733,2.09643697975881,1.6828504954208916,1.9654410033682976,1.827760625595626,inf,0.9581395405960447,1.9390443576743475
IRF9,1.0937455024735434,0.05836927313018238,0.8293641935768844,0.7395566706779257,0.9948660499566596,1.445748989852348,0.35204982039500327,0.8134564994723447,0.41773403580031965,1.205072969274051
ISG15,4.088385149391554,3.7170536380604533,4.090628483817146,4.157287292643316,4.005337459332113,4.0538759608042065,4.199196143601585,4.398918373486508,3.616015622173645,3.981475893412175
KPNA1,-0.8819925761794084,0.16015836622317475,-0.5463436708129246,-0.31777241290123537,-0.9387472061287426,0.046753583319420956,-0.9509763332199339,-1.8959552987886787,0.4017774249474888,-0.29842172572627046
KPNB1,0.11242840385821101,1.2568552755066331,0.48062527635982044,0.4515700711058765,0.35267270389633165,0.642418476474217,0.017739227987547648,-1.0010035104716042,1.4728053743644172,0.7713167339582421
MAVS,-0.1272586320231615,-1.0398098176144193,-0.6342183993666681,-0.9474830282167445,-0.2678267085526932,-0.3294777652426873,-1.0054020212050379,0.4839435684254655,-0.8979000193165191,-0.33508147526972
MX1,2.4825775233433536,1.0345801262887777,2.6793349905897106,2.787963729275435,2.365339426611231,3.8600842965767708,2.086843836083055,-0.00578816218645292,0.826438356802904,3.0493915250572976
MX2,1.3465310660808194,0.7004104542154561,1.7758578227577468,1.7048339567902242,1.574229143429196,2.419565858929005,1.2391158927525308,-0.259198875109426,0.3344082657990528,2.2162150960642735
NFKB1,1.0893309071538522,-1.5524441620004774,1.3130495157356887,2.002334237708695,0.4111975934217982,3.003896855960854,1.0633427265716702,-0.5657256561609063,-0.9301331158317133,1.4038111578925772
NFKB2,0.30727851619956764,-0.6374625890590611,0.8772307037724381,0.4345805612635946,1.0307418035333766,-0.22811173265159418,0.6907378776903706,1.2782847729894788,-0.894458099161162,1.065915606259946
NOD2,0.625721518093128,-0.6267391353141475,1.2847334505216372,0.671625679819102,1.4134177682794709,1.5277258663716935,0.39919007372647575,0.14072416075320893,-0.16928022979276006,1.8155716726272007
RIPK2,0.5075337807664501,1.2055648045835592,1.656736238163772,1.7560638365618502,0.7431290546910562,2.5294603365813844,0.9857769568603317,-0.38268728194085494,0.8433931100195838,1.883804754854404
