,7_1,7_2,7a72_1,7a72_2,7b72_1,7b72_2,Promedio Control 7,Promedio 7a72,Promedio 7b72,fold-change Control7 7a72,fold-change Control7 7b72
ABCA1,0.001617280227988815,0.0022575205355774646,0.003669400729313167,0.0014108103341590554,0.00030928897900539277,6.638489965414622e-05,0.0019374003817831398,0.0025401055317361113,0.0001878369393297695,0.39076630565890447,-3.366569419914223
ABCA2,0.004659959979114625,0.0065141707010865964,0.010929712334851105,0.005555065691261674,0.004914258221699374,0.006018897566892218,0.005587065340100611,0.008242389013056389,0.005466577894295796,0.5609718630350976,-0.031452711433414236
ABCA3,0.0005208190565233913,0.0002311918621316012,0.00035320434828526107,0.00044087822942470484,0.0005498470738720418,0.0002212829988174867,0.00037600545932749623,0.00039704128885498295,0.00038556503634476426,0.07853543401340181,0.03622062265731094
ABCA5,0.00649653244193773,0.0069357558623357315,0.003728268119840636,0.002557093729642499,0.006288875906379478,0.005709101368743541,0.006716144152136731,0.0031426809247415673,0.005998988637561509,-1.0956373926642975,-0.16291389696917086
ABCA7,0.0005756421151353199,0.0004215851602817526,0.00047093913104701474,0.0005290538753096458,0.0013058868002873301,0.0005310791971441677,0.0004986136377085362,0.0004999965031783302,0.000918482998715749,0.003995662269131716,0.8813306741526686
ABCA9,5.482305857327117e-05,0.00014959473426543978,0.0,0.0001763512917443622,3.436544210112569e-05,2.2128299877298573e-05,0.00010220889641935547,8.81756458721811e-05,2.824687098921213e-05,-0.21306863282551458,-1.8553578073290127
ABCB10,0.008771689372109964,0.005752597508808452,0.010007456534749064,0.008729388941588367,0.01701089384751937,0.007656391759013839,0.007262143440459208,0.009368422738168715,0.012333642803266605,0.36741075083372543,0.7641316385294782
ABCB1,0.001370576464525067,0.0011423597889009083,0.0031199717434709415,0.0019398642092135039,0.004467507476004186,0.0025226261858785344,0.0012564681267129875,0.002529917976342223,0.00349506683094136,1.0097165370755445,1.475945968056915
ABCB5,0.0,5.439808519036412e-05,1.962246378414331e-05,0.0,0.0,0.0,2.719904259518206e-05,9.811231892071654e-06,0.0,-1.471049672775288,inf
ABCB6,0.003399029631620128,0.0008567698416756813,0.0015501746398860698,0.0010581077506192915,0.0013058868002873301,0.0007966187957162516,0.002127899736647905,0.0013041411952526808,0.0010512527980017909,-0.7063301008109609,-1.017320534531121
ABCB7,0.0018365724624365297,0.0009111679269305375,0.002472430437996827,0.003438850188491909,0.003161620674446702,0.0014825960919347579,0.0013738701946835335,0.0029556403132443678,0.00232210838319073,1.1052250087368052,0.757189608205518
ABCB8,0.002384803048942392,0.002366316705442255,0.003669400729313167,0.0012344590423891734,0.004982989107362302,0.0023677280879167207,0.0023755598771923233,0.00245192988585117,0.0036753585976395118,0.04565015397194372,0.6296174467172121
ABCB9,0.006112771031074367,0.001033563618552426,0.0020211137709330845,0.0036152014797513963,0.005326643526150789,0.002168573388375769,0.0035731673248133966,0.0028181576253422406,0.0037476084572632793,-0.34245116744392423,0.06876675669542845
ABCC10,0.0025218606949889946,0.001495947342654398,0.0055727797172000285,0.005466890044355945,0.006288875906379478,0.002456241287069907,0.0020089040188216965,0.0055198348807779865,0.004372558596724693,1.4582164743568509,1.1220690810498215
ABCC11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ABCC13,0.0,0.0,1.962246378414331e-05,0.0,0.0,0.0,0.0,9.811231892071654e-06,0.0,inf,0
ABCC1,0.0015350456401675655,0.0016319425560333842,0.004238452180561009,0.005202363106190728,0.0028866971375106814,0.0023455997875721614,0.0015834940981004748,0.0047204076433758685,0.0026161484625414214,1.5757999624861851,0.7243329237069291
ABCC2,0.0008771689372109963,0.0010199640972790196,0.00017660217414263053,0.0008817564588494097,0.0005842125160684291,0.0007081055961180553,0.000948566517245008,0.0005291793164960201,0.0006461590560932421,-0.841992271143333,-0.5538596076372531
ABCC3,0.049066637419985105,0.0546564760927853,0.07083709431110839,0.0679834229757583,0.07405752773792833,0.06302139806852473,0.05186155675638521,0.06941025864343334,0.06853946290322653,0.4204833918838793,0.4022693734914522
ABCC4,0.0001370576464525067,0.0005575803731770477,0.00043169420336494044,0.0007935808129644686,0.00034365442101125693,0.0007302338960176044,0.00034731900981477715,0.0006126375081647045,0.0005369441585144307,0.818772321387279,0.6285106817043025
ABCC5,0.0035634988068760512,0.0011151607463540953,0.0032377065273705725,0.008553037650328879,0.001958830200430995,0.0021907016882753184,0.0023393297766150733,0.005895372088849726,0.0020747659443531566,1.3334876188271145,-0.1731466592393384
ABCC6P1,0.0006030536443446405,0.0004079856388471157,9.811231897761037e-05,0.0001763512917443622,0.0006185779579472779,0.0004425659975459714,0.000505519641595878,0.0001372318053609863,0.0005305719777466246,-1.8811522633682984,0.06978133330574358
ABCC6,0.0031797373979455634,0.0014823478213809916,0.0016482869586645517,0.002204391146868327,0.0012027904740157067,0.002766037485218584,0.0023310426096632775,0.0019263390527664392,0.001984413979617145,-0.2751137234023332,-0.23226235031742787
ABCC8,0.0,0.0,0.0,0.0,0.0004467507476004186,0.0,0.0,0.0,0.0002233753738002093,0,inf
ABCC9,2.7411529286635586e-05,1.3599521289529509e-05,0.0,0.0,0.0,0.0,2.0505525288082547e-05,0.0,0.0,inf,inf
ABCD1,0.0030152682226896404,0.004052657347214187,0.0016679094226478234,0.0007054051670795277,0.0009622323792760732,0.0044920448764933915,0.003533962784951914,0.0011866572948636756,0.0027271386278847325,-1.5743835007865974,-0.3738988091670558
ABCD3,0.04775088402953497,0.04120654952775067,0.06071190298108092,0.060576668727547994,0.05958967662818346,0.047752871142285984,0.04447871677864282,0.06064428585431446,0.053671273885234724,0.4472565487146238,0.27103496424500517
ABCD4,0.0030700912811082817,0.0013735516510325094,0.0051999529057849036,0.0028216206678077166,0.0060826832525660785,0.0038060675791623606,0.0022218214660703955,0.00401078678679631,0.00494437541586422,0.852142380630964,1.1540453941826343
ABCE1,0.01855760532883054,0.01599303704590256,0.03951964207827588,0.026276342466566887,0.03006976185039267,0.02385430728192368,0.01727532118736655,0.032897992272421385,0.026962034566158175,0.9292870067536602,0.642216833152674
ABCF1,0.006441709383519089,0.00473263341088451,0.008810486244570601,0.00837668635906939,0.008797553180682514,0.008961961452642223,0.005587171397201799,0.008593586301819996,0.008879757316662368,0.6211422485424067,0.6684021699194942
ABCF2,0.0050711329191873095,0.0027879018666913903,0.00516070797781836,0.011110131379971378,0.00941613113894733,0.006284437166576826,0.00392951739293935,0.008135419678894869,0.007850284152762078,1.0498646340640871,0.9983927379210977
ABCF3,0.007976755023106791,0.0038350650058723013,0.008418036967749858,0.005466890044355945,0.0056359325068708905,0.005797614567896727,0.005905910014489546,0.006942463506052902,0.005716773537383809,0.233288313364254,-0.04695823409001396
