,fold-change Control1 1b24,fold-change Control1 1b60,fold-change Control2 6a24,fold-change Control2 6a60,fold-change Control2 6b24,fold-change Control2 6b60
TRIM23,0.3825339419203588,0.39425619576412163,0.6006090795425588,-0.08948813185280813,1.6457461680415613,0.47442975587566166
TRIM24,0.3431298853899541,-0.3101584143701221,0.43601410648085165,0.331442021424721,1.12351896648391,0.5612918185561758
TRIM25,1.0399978541544965,0.5677859428100532,1.550866888677168,0.1766949662393586,1.313864182588774,1.0190103461959676
TRIM26,-0.12859362647082495,1.2587354941664024,0.7871670152815853,1.1122596171474568,0.2907435449869123,1.0230113939445993
TRIM28,0.9997403128363487,0.6883770137831023,0.6798744851207866,0.778084608121995,1.2815328564280257,1.0010558128022364
TRIM29,2.410655438599508,2.0349786097722147,0.9741969363067409,-0.740029940431206,0.5841709073253409,-0.16381106686723756
USP18,1.9601272517848811,1.8248653728837605,3.2088420490694305,1.4268024104604655,3.8227438823504376,3.5090056599853634
BCL2L11,-0.569548669044282,-0.015915564724744678,0.2443711586603923,0.49017524401226886,2.6564988319076606,0.9380394087305132
BID,0.5112116381057599,0.5176918030416515,1.1331177185896848,0.7125351632038184,1.2520211281451443,1.0280475325053196
CASP1,-0.43256692542650305,1.6234072787302565,inf,1.2957068184324898,2.837545002266142,inf
CASP3,0.2188650787364968,0.6650614851804525,0.7070253227693167,0.7491316908455125,1.1514296905738812,1.0068102423054424
CASP4,0.0410098995090175,1.015869198377949,1.3112814365102976,0.1773053957257285,2.423746919965373,0.11024013715426458
CASP7,-0.00978338749035964,0.42685421511715593,1.3035355426978514,0.8150562739508665,2.5850844729800633,0.8853103312021703
FAS,0.5056415904798397,1.3477986794108892,2.0287254669176367,1.2930335574473486,2.3362340959396897,1.4346471418638835
GADD45B,1.62157494038501,0.4506364076575214,3.1255913771530572,0.8308736885259483,4.251500497344977,1.6585939020716722
ARL6IP1,0.1124886275186531,0.5767980544436421,0.9950461873768033,0.7192738054412262,1.654514005685841,0.7760735004801129
CFLAR,0.3502780764269467,0.8746553988211412,0.1388217174929101,-0.10087253019207323,0.7943040480557374,0.1528097929830331
ACER3,0.8136342906328099,1.1645781514023528,1.9383597276359226,0.8246063784429704,2.2405057139665248,1.3259686954629524
CASP10,-0.30714245444311783,0.06645267882095979,0.3737999890002624,0.18855516357939742,-0.007252683208615046,-0.10504647094087059
CASP8,0.35967762775853923,0.43257140967462815,0.9841699982760433,0.5620586257850345,0.5212054741802777,1.077512250050412
APLP2,-0.09454320412025291,0.7219249591962383,0.13973201076183348,0.46132770194987993,0.5682391994876355,0.2513930075301491
CALM1,-0.12483630083540416,0.6343169022660125,1.2417950703996112,0.8584384105434685,1.7607890909955457,0.9482221086020913
CFB,-0.920149139962438,0.7678228802185301,-1.0608362603996968,-0.8743358701310141,0.845666322702804,0.5403550292306254
DDX5,0.06121339892265791,0.5323410209143417,1.4576853246372756,0.8378208355190477,2.398883215857491,1.0645773334547435
EDN1,0.14572384954993392,0.5297585769766098,3.087611616622917,1.416440453664839,4.19601460029307,2.0236547127309303
ENO1,0.37755625332298504,0.317764173938856,0.23567643054057988,0.5757068149359763,0.3158155118405756,0.44433489008053295
F2,inf,inf,inf,0,0,0
FLNB,0.2894852621383224,0.7148424100648895,0.44492955936631673,-0.1763953949877455,0.19963358012365862,-0.2741004175917098
FN1,2.023103517609016,inf,inf,inf,inf,inf
GJA1,inf,3.18423225263665,-0.28525413838962105,inf,inf,inf
ITGAM,0.681948276007354,inf,0,0,0,inf
