,fold-change control1 case1 lung,fold-change control1 case1 heart,fold-change control2 case2 lung,fold-change control2 case2 jejunum,fold-change control2 case2 heart,fold-change control3 case3 lung,fold-change control3 case3 heart,fold-change control4 case4 lung,fold-change control4 case4 heart,fold-change control4 case4 liver,fold-change control4 case4 kidney,fold-change control4 case4 bowel,fold-change control5 case5 lung,fold-change control5 case5 fat,fold-change control5 case5 skin,fold-change control5 case5 bowel,fold-change control5 case5 liver,fold-change control5 case5 kidney,fold-change control5 case5 heart,fold-change control5 case5 marrow
CCL20,inf,inf,-3.5213973719436886,inf,-4.456413427074382,-2.1870668603615453,inf,inf,inf,inf,,inf,-4.022403701183675,inf,inf,-5.426781826538066,-2.9316939866090856,inf,inf,inf
CX3CL1,0.6898232929235776,-0.5514449506571948,0.55260320950009,-0.5083412191182392,0.017517761258032283,-1.0655364033484973,-1.1909435829191937,2.6144267129120813,0.22613751245884586,inf,,-1.140087082464969,0.13210562073703377,inf,-3.072715950435448,-3.537813138926809,inf,-2.978470757278538,-0.9641154643014649,-5.114675140876843
CXCL1,-0.6981030739424396,-2.045259563320151,3.0783019643296887,1.2021521636867705,inf,-1.9925394497902034,-3.5375337320408202,2.2924986180247195,inf,inf,,0.6635157047315292,-3.2285949498808506,inf,-7.505180521472478,-1.5412197403700596,-5.337686346284924,-4.951503709678268,-5.795129411828777,inf
CXCL10,7.5291313829284485,inf,-1.560396756877406,inf,inf,2.137159957037256,inf,1.2924986180247193,inf,inf,,inf,inf,0,0,0,0,0,inf,0
CXCL11,inf,0,-2.468535557558067,inf,inf,1.7586160630370928,inf,inf,0,0,,0,inf,0,0,0,0,0,0,0
CXCL2,-2.425778017924154,-1.89673703861007,-0.1276943287192313,-3.3214097923702424,-4.658047288244033,-0.5964538354943132,0.21080822560942178,2.2466949284115936,inf,2.6710102412784544,inf,-4.014556200381111,-2.5072304307013673,-3.8239378062532037,-4.391969911024485,-4.523166362962406,-6.224475735836933,-4.030938177172672,-4.511993799938466,inf
CXCL3,-4.48247266242436,inf,-0.005720166122699052,inf,inf,2.2508765614800916,inf,4.421781634969686,inf,inf,,inf,-0.5891180414915146,inf,-2.4293367634889727,-1.0199648340641891,-4.069197510359022,-2.6830148737523647,-5.526640575902866,-3.819219257350672
CXCL5,-3.975640145799099,inf,3.7181497704318267,inf,inf,-3.3806465867544153,-3.5617812782875014,inf,inf,inf,,-3.921446795989629,-4.575760625932948,inf,-7.821654186267731,-4.6049273347853426,-4.069197510359018,inf,inf,inf
CXCL6,inf,0,inf,0,0,0.32417522107632446,inf,0,0,0,,inf,inf,inf,inf,inf,inf,inf,inf,inf
SERPINF1,-0.020959901830421544,1.9630007699845882,0.36260554903380443,-0.7773837337535108,-2.1763055078816484,1.6156890644814088,-0.061515942141629594,1.2924986180247202,-0.03587188797418359,1.2786928184996953,,0.44279210375569694,0.07924252921978225,inf,-0.08363088088507399,-1.4987822043354484,-2.832158313058173,-2.6683680977879654,0.04259505173916712,-6.974497482828583
COL1A1,-0.7114584020254663,-5.670809597970027,2.3898791341179053,-3.5550977019337853,-6.805023564614251,3.9252375989088826,-1.3329625877916202,2.146332106813799,0.047379590854265304,-1.8869320455089924,inf,-1.4604934616554284,-0.27773030654655306,-4.352611176127814,-2.70632416009833,-3.6104045434935674,-5.895168110583969,-4.237683452159922,-3.8752018165614666,-6.918208351982048
